Abbey 2.8.22,Abbey Glp1R LepR 2.8.22,GFF 2.8.22,Chow,2.8.22,,,,,,,
,TSE PhenoMaster V7.9.5 (2021-5214),,,,,,,,,,
Box,Animal No.,Weight [g],Text1,Text2,Text3,,,,,,
1,725,21.5,f,++FF, ,,,,,,
2,995,20.2,f,++FF, ,,,,,,
3,973,22.1,f,G+FFRR, ,,,,,,
4,974,22.5,f,G+FFRR, ,,,,,,
5,975,26.3,F,G+FFRR, ,,,,,,
6,736,30.9,F,G+FFRR, ,,,,,,
7,733,18.1,F,++FFRR, ,,,,,,
8,734,27.2,F,G+FFRR, ,,,,,,
13,735,20.5,F,++FFRR, ,,,,,,
14,970,23.3,M,++FFRR, ,,,,,,
15,971,28.8,m,G+FFRR, ,,,,,,
16,972,21.8,m,++FFRR, ,,,,,,
17,635,23.9,m,G+FFRR, ,,,,,,
18,731,29.4,m,++FFRR, ,,,,,,
19,730,23.1,m,G+FFRR, ,,,,,,
,,,,,,,,,,,
Date Time,Animal No.,Box,VO2(3),VCO2(3),RER,H(3),XT+YT,XA,YA,Drink,Feed1
,,,[ml/h],[ml/h],,[kcal/h],[Cnt],[Cnt],[Cnt],[ml],[g]
2/8/2022 10:49:22,725,1,48,39,0.811,0.233,2492,1358,463,0.03,0.02
2/8/2022 11:04:22,725,1,49,41,0.832,0.238,862,401,134,0.04,0.02
2/8/2022 11:19:22,725,1,42,33,0.77,0.203,965,431,252,0.05,0.02
2/8/2022 11:34:23,725,1,40,31,0.77,0.192,575,269,124,0.07,0.02
2/8/2022 11:49:22,725,1,37,29,0.795,0.178,119,41,19,0.07,0.02
2/8/2022 12:04:22,725,1,34,27,0.804,0.163,326,99,104,0.08,0.02
2/8/2022 12:19:22,725,1,31,26,0.843,0.152,35,3,3,0.09,0.02
2/8/2022 12:34:22,725,1,33,26,0.806,0.158,51,23,0,0.1,0.02
2/8/2022 12:49:22,725,1,33,27,0.813,0.158,444,230,99,0.26,0.02
2/8/2022 13:04:22,725,1,47,39,0.837,0.229,1752,791,433,0.28,0.05
2/8/2022 13:19:22,725,1,44,37,0.847,0.213,424,92,114,0.28,0.05
2/8/2022 13:34:22,725,1,34,27,0.79,0.164,58,2,1,0.28,0.14
2/8/2022 13:49:22,725,1,30,25,0.839,0.146,26,1,7,0.29,0.14
2/8/2022 14:04:22,725,1,34,27,0.819,0.163,142,20,50,0.29,0.14
2/8/2022 14:19:22,725,1,53,44,0.822,0.258,1446,601,459,0.29,0.14
2/8/2022 14:34:22,725,1,32,25,0.791,0.155,158,41,4,0.29,0.14
2/8/2022 14:49:22,725,1,31,25,0.823,0.15,102,5,23,0.3,0.29
2/8/2022 15:04:22,725,1,31,24,0.791,0.147,64,4,5,0.3,0.29
2/8/2022 15:19:22,725,1,29,23,0.784,0.14,48,1,5,0.3,0.29
2/8/2022 15:34:22,725,1,40,31,0.788,0.19,200,54,17,0.3,0.29
2/8/2022 15:49:22,725,1,50,40,0.81,0.24,1644,735,348,0.3,0.29
2/8/2022 16:04:22,725,1,46,41,0.894,0.227,294,103,10,0.3,0.29
2/8/2022 16:19:22,725,1,27,24,0.891,0.132,58,18,0,0.3,0.29
2/8/2022 16:34:22,725,1,28,25,0.885,0.139,74,17,1,0.3,0.29
2/8/2022 16:49:22,725,1,27,25,0.909,0.135,50,10,1,0.31,0.29
2/8/2022 17:04:22,725,1,34,30,0.892,0.167,970,415,171,0.31,0.29
2/8/2022 17:19:22,725,1,32,29,0.897,0.158,86,18,17,0.31,0.35
2/8/2022 17:34:23,725,1,27,25,0.918,0.136,40,16,0,0.31,0.35
2/8/2022 17:49:22,725,1,27,25,0.928,0.136,215,68,23,0.31,0.35
2/8/2022 18:04:22,725,1,43,39,0.908,0.215,661,227,153,0.31,0.35
2/8/2022 18:19:22,725,1,29,25,0.842,0.142,223,68,16,0.32,0.35
2/8/2022 18:34:22,725,1,50,45,0.902,0.245,1515,605,351,0.32,0.39
2/8/2022 18:49:22,725,1,46,43,0.942,0.229,1357,545,474,0.32,0.39
2/8/2022 19:04:22,725,1,36,32,0.889,0.177,1470,523,513,0.32,0.4
2/8/2022 19:19:22,725,1,46,42,0.909,0.229,1950,725,710,0.32,0.48
2/8/2022 19:34:22,725,1,49,45,0.926,0.241,2443,1061,710,0.32,0.51
2/8/2022 19:49:22,725,1,47,44,0.931,0.232,1848,819,543,0.32,0.53
2/8/2022 20:04:22,725,1,50,44,0.882,0.244,1996,832,528,0.33,0.67
2/8/2022 20:19:22,725,1,45,43,0.937,0.226,1851,845,513,0.33,0.71
2/8/2022 20:34:22,725,1,38,36,0.95,0.188,648,268,178,0.33,0.71
2/8/2022 20:49:22,725,1,51,49,0.961,0.257,2115,988,485,0.33,0.81
2/8/2022 21:04:22,725,1,40,37,0.918,0.197,464,151,107,0.33,0.81
2/8/2022 21:19:22,725,1,44,44,0.995,0.221,1912,775,525,0.33,0.96
2/8/2022 21:34:22,725,1,42,40,0.955,0.209,1547,664,431,0.33,0.98
2/8/2022 21:49:22,725,1,44,44,0.999,0.222,2498,1072,695,0.33,1.36
2/8/2022 22:04:23,725,1,40,39,0.987,0.2,370,128,129,0.33,1.36
2/8/2022 22:19:22,725,1,33,31,0.944,0.162,791,329,238,0.33,1.37
2/8/2022 22:34:22,725,1,43,42,0.995,0.215,1953,812,564,0.34,1.41
2/8/2022 22:49:23,725,1,45,43,0.965,0.224,2868,1351,789,0.38,1.77
2/8/2022 23:04:23,725,1,45,43,0.959,0.223,2410,1093,676,0.38,1.78
2/8/2022 23:19:22,725,1,41,41,0.991,0.207,1953,844,629,0.43,1.78
2/8/2022 23:34:23,725,1,42,40,0.949,0.208,1617,696,551,0.45,1.78
2/8/2022 23:49:23,725,1,42,41,0.979,0.211,1289,543,412,0.46,1.78
2/9/2022 0:04:22,725,1,36,35,0.979,0.18,536,212,168,0.46,1.78
2/9/2022 0:19:22,725,1,40,40,0.999,0.202,1470,588,484,0.46,1.78
2/9/2022 0:34:22,725,1,44,42,0.959,0.222,2350,1002,671,0.46,1.87
2/9/2022 0:49:22,725,1,40,39,0.962,0.201,408,153,115,0.46,1.9
2/9/2022 1:04:22,725,1,36,34,0.937,0.179,372,161,94,0.46,1.9
2/9/2022 1:19:22,725,1,28,27,0.954,0.14,64,28,14,0.46,1.9
2/9/2022 1:34:22,725,1,38,37,0.956,0.192,1842,810,612,0.46,1.9
2/9/2022 1:49:22,725,1,43,41,0.96,0.215,3191,1221,1112,0.46,1.99
2/9/2022 2:04:22,725,1,42,41,0.961,0.212,2919,1419,804,0.46,2.02
2/9/2022 2:19:23,725,1,33,30,0.914,0.163,42,17,1,0.46,2.03
2/9/2022 2:34:22,725,1,23,22,0.937,0.117,232,60,65,0.46,2.03
2/9/2022 2:49:22,725,1,33,29,0.892,0.162,1499,655,355,0.46,2.13
2/9/2022 3:04:22,725,1,37,35,0.937,0.185,509,168,138,0.46,2.18
2/9/2022 3:19:22,725,1,27,25,0.918,0.134,34,14,0,0.46,2.18
2/9/2022 3:34:23,725,1,38,34,0.884,0.187,808,352,121,0.46,2.21
2/9/2022 3:49:23,725,1,38,35,0.924,0.187,2225,1109,486,0.46,2.28
2/9/2022 4:04:22,725,1,33,31,0.922,0.165,77,27,7,0.46,2.3
2/9/2022 4:19:22,725,1,37,33,0.891,0.184,1377,613,284,0.46,2.38
2/9/2022 4:34:22,725,1,27,25,0.928,0.136,62,23,1,0.46,2.38
2/9/2022 4:49:22,725,1,25,23,0.898,0.125,624,240,96,0.46,2.49
2/9/2022 5:04:22,725,1,36,32,0.896,0.179,1270,582,359,0.46,2.5
2/9/2022 5:19:22,725,1,29,27,0.928,0.143,52,19,0,0.46,2.5
2/9/2022 5:34:22,725,1,33,29,0.882,0.16,347,149,65,0.46,2.66
2/9/2022 5:49:22,725,1,29,25,0.868,0.142,42,24,4,0.46,2.67
2/9/2022 6:04:23,725,1,22,20,0.904,0.111,71,25,6,0.46,2.67
2/9/2022 6:19:22,725,1,35,30,0.858,0.17,749,345,190,0.46,2.67
2/9/2022 6:34:22,725,1,35,30,0.844,0.173,725,304,222,0.46,2.68
2/9/2022 6:49:22,725,1,29,25,0.868,0.14,46,16,1,0.47,2.68
2/9/2022 7:04:22,725,1,21,19,0.913,0.104,72,8,2,0.47,2.68
2/9/2022 7:19:22,725,1,25,20,0.815,0.121,71,13,0,0.47,2.68
2/9/2022 7:34:22,725,1,23,19,0.828,0.111,52,1,0,0.47,2.68
2/9/2022 7:49:22,725,1,24,20,0.815,0.119,41,16,0,0.47,2.69
2/9/2022 8:04:22,725,1,34,28,0.826,0.164,1206,534,297,0.47,2.69
2/9/2022 8:19:22,725,1,36,30,0.835,0.177,606,191,162,0.47,2.69
2/9/2022 8:34:23,725,1,25,23,0.908,0.126,21,9,4,0.48,2.69
2/9/2022 8:49:22,725,1,25,23,0.908,0.125,44,13,3,0.48,2.69
2/9/2022 9:04:23,725,1,28,24,0.846,0.136,43,4,3,0.48,2.69
2/9/2022 9:19:22,725,1,29,24,0.809,0.142,238,84,56,0.49,2.7
2/9/2022 9:34:22,725,1,31,25,0.823,0.148,338,117,81,0.49,2.7
2/9/2022 9:49:23,725,1,29,23,0.8,0.14,29,2,4,0.49,2.7
2/9/2022 10:04:23,725,1,26,22,0.831,0.126,76,21,11,0.49,2.7
2/9/2022 10:19:22,725,1,28,23,0.802,0.136,221,68,45,0.49,2.7
2/9/2022 10:34:22,725,1,26,22,0.85,0.126,790,326,242,0.5,2.71
2/9/2022 10:49:22,725,1,48,40,0.832,0.233,3782,1619,1274,1.8,2.71
2/9/2022 11:04:23,725,1,42,35,0.846,0.203,2011,838,563,1.81,2.81
2/9/2022 11:19:22,725,1,32,28,0.882,0.158,47,9,8,1.82,2.81
2/9/2022 11:34:22,725,1,28,23,0.837,0.134,19,3,1,1.82,2.81
2/9/2022 11:49:22,725,1,29,23,0.809,0.14,18,5,5,1.82,2.81
2/9/2022 12:04:23,725,1,28,22,0.811,0.134,102,20,20,1.83,2.81
2/9/2022 12:19:22,725,1,27,23,0.855,0.133,109,52,31,1.84,2.81
2/9/2022 12:34:22,725,1,40,33,0.836,0.193,1336,578,392,1.84,2.82
2/9/2022 12:49:22,725,1,37,31,0.835,0.18,2199,922,638,1.84,2.96
2/9/2022 13:04:22,725,1,41,36,0.894,0.2,260,107,68,5.76,2.96
2/9/2022 13:19:22,725,1,27,25,0.928,0.136,52,4,1,5.77,2.96
2/9/2022 13:34:22,725,1,28,24,0.864,0.136,55,16,2,5.78,2.96
2/9/2022 13:49:22,725,1,29,25,0.885,0.14,27,13,3,5.78,2.96
2/9/2022 14:04:23,725,1,28,27,0.946,0.141,99,45,13,5.78,2.96
2/9/2022 14:19:22,725,1,27,25,0.928,0.133,138,50,8,5.79,2.96
2/9/2022 14:34:22,725,1,39,35,0.905,0.193,2225,1064,568,5.95,3.12
2/9/2022 14:49:22,725,1,48,43,0.901,0.237,2369,1045,572,6.55,3.37
2/9/2022 15:04:23,725,1,43,44,1.019,0.217,1666,674,453,6.78,3.44
2/9/2022 15:19:22,725,1,36,34,0.958,0.179,56,15,3,6.78,3.44
2/9/2022 15:34:23,725,1,28,28,1.008,0.142,31,9,2,6.78,3.44
2/9/2022 15:49:22,725,1,28,28,1.026,0.14,97,33,5,6.78,3.44
2/9/2022 16:04:22,725,1,31,31,0.985,0.156,1303,653,240,6.8,3.58
2/9/2022 16:19:23,725,1,42,44,1.043,0.215,2710,1234,817,7.46,3.73
2/9/2022 16:34:22,725,1,37,37,0.991,0.187,77,4,17,7.46,3.73
2/9/2022 16:49:22,725,1,32,33,1.022,0.163,1423,624,326,7.46,3.87
2/9/2022 17:04:22,725,1,40,41,1.025,0.202,690,178,187,7.71,3.87
2/9/2022 17:19:22,725,1,34,34,0.988,0.172,418,145,105,7.71,3.87
2/9/2022 17:34:23,725,1,44,44,0.999,0.22,1452,523,389,7.71,4.08
2/9/2022 17:49:22,725,1,46,46,1.008,0.231,2465,1022,557,8.15,4.49
2/9/2022 18:04:22,725,1,46,45,0.98,0.232,391,130,67,8.44,4.5
2/9/2022 18:19:22,725,1,34,33,0.988,0.17,69,8,8,8.44,4.5
2/9/2022 18:34:22,725,1,36,36,1,0.179,246,85,62,8.44,4.5
2/9/2022 18:49:22,725,1,34,34,0.988,0.172,528,117,134,8.45,4.5
2/9/2022 19:04:22,725,1,52,52,1.009,0.263,1906,828,385,8.6,4.62
2/9/2022 19:19:23,725,1,47,46,0.989,0.237,723,262,205,8.65,4.62
2/9/2022 19:34:22,725,1,39,41,1.038,0.2,1742,772,371,8.73,5
2/9/2022 19:49:22,725,1,42,45,1.049,0.217,1255,389,432,9.14,5
2/9/2022 20:04:22,725,1,45,45,1.002,0.225,5199,2260,1977,9.15,5.02
2/9/2022 20:19:22,725,1,44,44,1.016,0.221,962,159,531,9.15,5.02
2/9/2022 20:34:22,725,1,36,35,0.986,0.18,106,18,34,9.15,5.02
2/9/2022 20:49:23,725,1,49,47,0.972,0.244,2148,1008,363,9.15,5.26
2/9/2022 21:04:23,725,1,52,52,0.995,0.263,3307,870,1549,9.63,5.38
2/9/2022 21:19:23,725,1,50,50,0.996,0.253,1327,360,577,9.64,5.46
2/9/2022 21:34:23,725,1,42,42,0.991,0.212,57,34,1,9.84,5.46
2/9/2022 21:49:22,725,1,36,34,0.943,0.178,5,0,0,9.84,5.46
2/9/2022 22:04:22,725,1,31,31,0.985,0.157,4,0,0,9.84,5.46
2/9/2022 22:19:23,725,1,31,32,1.017,0.159,77,46,2,9.84,5.46
2/9/2022 22:34:23,725,1,31,30,0.969,0.155,19,0,0,9.84,5.46
2/9/2022 22:49:22,725,1,34,33,0.973,0.172,438,201,8,9.84,5.5
2/9/2022 23:04:22,725,1,40,42,1.051,0.203,662,299,2,9.84,5.72
2/9/2022 23:19:22,725,1,44,45,1.022,0.224,1550,770,226,10.16,6.04
2/9/2022 23:34:22,725,1,52,52,1.004,0.263,1427,680,146,10.56,6.47
2/9/2022 23:49:22,725,1,52,54,1.029,0.267,1232,494,154,10.71,6.61
2/10/2022 0:04:22,725,1,49,50,1.024,0.249,441,132,16,10.77,6.61
2/10/2022 0:19:22,725,1,44,45,1.016,0.225,0,0,0,10.78,6.61
2/10/2022 0:34:22,725,1,31,32,1.042,0.155,0,0,0,10.78,6.61
2/10/2022 0:49:22,725,1,31,30,0.985,0.155,1,0,0,10.78,6.61
2/10/2022 1:04:22,725,1,31,31,0.985,0.158,0,0,0,10.79,6.61
2/10/2022 1:19:22,725,1,33,33,1.006,0.166,46,32,0,10.79,6.62
2/10/2022 1:34:22,725,1,31,32,1.045,0.158,7,0,0,10.79,6.62
2/10/2022 1:49:22,725,1,31,33,1.059,0.159,11,0,0,10.79,6.62
2/10/2022 2:04:22,725,1,28,28,1.026,0.141,23,0,0,10.79,6.62
2/10/2022 2:19:22,725,1,26,29,1.119,0.134,2,0,0,10.79,6.62
2/10/2022 2:34:22,725,1,38,40,1.055,0.192,174,68,1,10.79,6.62
2/10/2022 2:49:22,725,1,56,57,1.017,0.282,1343,479,352,10.91,6.81
2/10/2022 3:04:22,725,1,41,46,1.103,0.214,1048,559,51,11.01,6.97
2/10/2022 3:19:22,725,1,51,52,1.014,0.259,1111,496,28,11.46,7.19
2/10/2022 3:34:22,725,1,44,48,1.08,0.226,565,345,2,11.63,7.29
2/10/2022 3:49:22,725,1,44,45,1.01,0.223,0,0,0,11.63,7.3
2/10/2022 4:04:22,725,1,34,34,1.003,0.173,0,0,0,11.63,7.3
2/10/2022 4:19:22,725,1,34,34,0.995,0.172,123,83,0,11.63,7.3
2/10/2022 4:34:22,725,1,48,51,1.056,0.244,845,498,0,11.69,7.56
2/10/2022 4:49:22,725,1,45,49,1.098,0.231,467,291,35,12.04,7.56
2/10/2022 5:04:22,725,1,44,44,0.999,0.224,431,266,38,12.04,8.01
2/10/2022 5:19:22,725,1,46,45,0.991,0.229,0,0,0,12.04,8.01
2/10/2022 5:34:22,725,1,30,31,1.017,0.153,0,0,0,12.04,8.01
2/10/2022 5:49:22,725,1,31,31,1.009,0.155,31,24,0,12.04,8.01
2/10/2022 6:04:22,725,1,34,34,1.01,0.172,0,0,0,12.04,8.01
2/10/2022 6:19:22,725,1,31,31,1.001,0.158,0,0,0,12.04,8.01
2/10/2022 6:34:22,725,1,43,44,1.025,0.219,263,143,3,12.05,8.04
2/10/2022 6:49:22,725,1,47,49,1.052,0.238,1060,805,3,12.1,8.19
2/10/2022 7:04:22,725,1,41,44,1.065,0.211,158,99,4,12.14,8.19
2/10/2022 7:19:22,725,1,37,39,1.067,0.187,0,0,0,12.14,8.19
2/10/2022 7:34:22,725,1,31,31,0.993,0.158,0,0,0,12.14,8.19
2/10/2022 7:49:22,725,1,29,31,1.056,0.148,0,0,0,12.14,8.19
2/10/2022 8:04:23,725,1,31,32,1.026,0.159,0,0,0,12.14,8.19
2/10/2022 8:19:23,725,1,31,31,1.026,0.156,0,0,0,12.15,8.19
2/10/2022 8:34:22,725,1,31,30,0.953,0.155,0,0,0,12.15,8.19
2/10/2022 8:49:22,725,1,31,32,1.042,0.157,62,31,6,12.15,8.19
2/10/2022 9:04:22,725,1,39,40,1.025,0.2,89,63,3,12.15,8.19
2/10/2022 9:19:22,725,1,27,30,1.109,0.14,0,0,0,12.15,8.19
2/10/2022 9:34:23,725,1,24,27,1.099,0.126,0,0,0,12.15,8.19
2/10/2022 9:49:22,725,1,27,28,1.026,0.138,0,0,0,12.15,8.19
2/10/2022 10:04:22,725,1,26,27,1.041,0.133,0,0,0,12.15,8.19
2/10/2022 10:19:22,725,1,26,27,1.022,0.132,0,0,0,12.15,8.19
2/10/2022 10:34:22,725,1,30,30,1.004,0.15,0,0,0,12.15,8.19
2/10/2022 10:49:22,725,1,33,34,1.037,0.168,0,0,0,12.15,8.19
2/10/2022 11:04:23,725,1,27,27,1.003,0.135,0,0,0,12.15,8.19
2/10/2022 11:19:22,725,1,25,25,1.017,0.125,0,0,0,12.16,8.19
2/10/2022 11:34:23,725,1,34,34,0.988,0.173,101,55,8,12.16,8.19
2/10/2022 11:49:22,725,1,33,32,0.975,0.164,6,0,0,12.16,8.19
2/10/2022 12:04:22,725,1,25,25,0.996,0.127,435,221,32,12.19,8.2
2/10/2022 12:19:22,725,1,30,27,0.904,0.15,14,0,1,12.19,8.2
2/10/2022 12:34:23,725,1,25,25,1.006,0.127,7,0,0,12.2,8.21
2/10/2022 12:49:22,725,1,29,25,0.859,0.143,1,0,0,12.2,8.21
2/10/2022 13:04:22,725,1,25,23,0.927,0.125,1,0,0,12.2,8.21
2/10/2022 13:19:22,725,1,25,24,0.937,0.126,0,0,0,12.2,8.21
2/10/2022 13:34:23,725,1,32,27,0.836,0.157,1,0,0,12.21,8.21
2/10/2022 13:49:22,725,1,26,24,0.937,0.127,3,0,0,12.21,8.21
2/10/2022 14:04:22,725,1,28,24,0.855,0.135,0,0,0,12.21,8.21
2/10/2022 14:19:22,725,1,27,23,0.855,0.133,197,86,1,12.21,8.21
2/10/2022 14:34:22,725,1,41,36,0.894,0.201,351,155,27,12.21,8.22
2/10/2022 14:49:22,725,1,38,35,0.937,0.188,30,0,0,12.22,8.22
2/10/2022 15:04:23,725,1,28,27,0.937,0.141,1,1,0,12.22,8.22
2/10/2022 15:19:22,725,1,29,25,0.868,0.144,0,0,0,12.22,8.22
2/10/2022 15:34:22,725,1,46,42,0.915,0.229,441,202,7,12.23,8.28
2/10/2022 15:49:23,725,1,36,35,0.972,0.182,372,171,10,12.23,8.35
2/10/2022 16:04:22,725,1,29,27,0.937,0.142,0,0,0,12.23,8.35
2/10/2022 16:19:23,725,1,29,28,0.99,0.145,46,22,1,12.24,8.35
2/10/2022 16:34:23,725,1,42,42,0.991,0.214,470,249,19,12.24,8.44
2/10/2022 16:49:22,725,1,37,36,0.97,0.185,455,200,79,12.49,8.93
2/10/2022 17:04:22,725,1,41,42,1.015,0.207,25,14,2,12.92,8.94
2/10/2022 17:19:23,725,1,31,31,1.001,0.156,0,0,0,12.92,8.94
2/10/2022 17:34:22,725,1,26,28,1.07,0.135,1,0,0,12.93,8.94
2/10/2022 17:49:22,725,1,28,30,1.063,0.143,44,31,1,12.93,8.94
2/10/2022 18:04:23,725,1,36,39,1.088,0.185,176,56,3,12.93,8.94
2/10/2022 18:19:22,725,1,29,31,1.065,0.147,2,0,0,12.93,8.94
2/10/2022 18:34:22,725,1,46,47,1.024,0.231,853,317,76,13.08,9.06
2/10/2022 18:49:23,725,1,40,41,1.031,0.204,352,165,7,13.09,9.12
2/10/2022 19:04:23,725,1,37,40,1.055,0.191,676,231,63,13.09,9.26
2/10/2022 19:19:22,725,1,50,52,1.032,0.255,1218,456,136,13.56,9.7
2/10/2022 19:34:23,725,1,37,38,1.039,0.187,5,0,0,13.57,9.7
2/10/2022 19:49:23,725,1,33,36,1.079,0.17,126,52,14,13.58,9.7
2/10/2022 20:04:22,725,1,34,34,1.025,0.171,129,57,8,13.58,9.7
2/10/2022 20:19:22,725,1,39,43,1.103,0.202,764,270,176,13.98,9.7
2/10/2022 20:34:23,725,1,46,50,1.076,0.237,1465,609,89,13.99,9.93
2/10/2022 20:49:22,725,1,48,50,1.045,0.244,726,287,25,14.17,10.12
2/10/2022 21:04:22,725,1,38,40,1.055,0.193,145,2,0,14.17,10.12
2/10/2022 21:19:22,725,1,33,36,1.109,0.169,640,161,176,14.17,10.16
2/10/2022 21:34:22,725,1,39,40,1.035,0.197,128,37,8,14.18,10.17
2/10/2022 21:49:22,725,1,47,51,1.098,0.24,755,308,76,14.29,10.29
2/10/2022 22:04:23,725,1,37,39,1.039,0.189,884,293,229,14.29,10.42
2/10/2022 22:19:22,725,1,45,50,1.098,0.234,1173,397,267,14.77,10.72
2/10/2022 22:34:22,725,1,45,46,1.008,0.229,480,210,29,14.78,10.73
2/10/2022 22:49:22,725,1,43,46,1.051,0.221,46,4,1,14.78,10.73
2/10/2022 23:04:22,725,1,34,35,1.033,0.173,39,5,0,14.78,10.73
2/10/2022 23:19:22,725,1,29,32,1.101,0.151,95,34,1,14.78,10.73
2/10/2022 23:34:23,725,1,29,31,1.059,0.151,44,23,0,14.78,10.73
2/10/2022 23:49:23,725,1,28,30,1.1,0.143,7,0,0,14.78,10.73
2/11/2022 0:04:22,725,1,38,41,1.096,0.194,842,331,9,14.83,10.97
2/11/2022 0:19:22,725,1,40,43,1.083,0.206,360,124,42,15.22,10.97
2/11/2022 0:34:22,725,1,36,38,1.058,0.182,196,67,0,15.22,11.26
2/11/2022 0:49:22,725,1,42,43,1.019,0.215,432,125,27,15.23,11.26
2/11/2022 1:04:22,725,1,34,35,1.025,0.174,315,2,0,15.24,11.26
2/11/2022 1:19:22,725,1,27,30,1.091,0.141,293,8,0,15.24,11.26
2/11/2022 1:34:22,725,1,28,29,1.044,0.143,312,13,0,15.24,11.26
2/11/2022 1:49:22,725,1,28,30,1.063,0.143,609,170,4,15.24,11.3
2/11/2022 2:04:22,725,1,32,35,1.085,0.164,442,66,0,15.24,11.34
2/11/2022 2:19:22,725,1,30,30,0.993,0.153,339,0,0,15.24,11.34
2/11/2022 2:34:22,725,1,40,40,0.999,0.2,1016,371,0,15.25,11.48
2/11/2022 2:49:22,725,1,33,35,1.033,0.17,953,355,38,15.46,11.54
2/11/2022 3:04:22,725,1,49,51,1.029,0.251,1060,374,90,15.69,11.73
2/11/2022 3:19:22,725,1,33,35,1.079,0.168,33,0,0,15.69,11.73
2/11/2022 3:34:22,725,1,29,30,1.022,0.148,32,0,0,15.7,11.73
2/11/2022 3:49:22,725,1,42,43,1.04,0.213,369,135,0,15.7,11.75
2/11/2022 4:04:22,725,1,32,35,1.085,0.167,888,303,177,15.7,11.85
2/11/2022 4:19:22,725,1,46,48,1.041,0.233,1353,568,154,16.05,12.14
2/11/2022 4:34:22,725,1,46,48,1.036,0.235,1125,499,28,16.15,12.36
2/11/2022 4:49:23,725,1,43,43,1.004,0.216,1049,624,26,16.16,12.37
2/11/2022 5:04:22,725,1,44,46,1.033,0.224,244,106,2,16.16,12.37
2/11/2022 5:19:22,725,1,36,38,1.046,0.183,1,0,0,16.16,12.37
2/11/2022 5:34:22,725,1,23,25,1.076,0.119,2,1,0,16.16,12.37
2/11/2022 5:49:22,725,1,25,24,0.927,0.126,29,21,2,16.16,12.37
2/11/2022 6:04:22,725,1,36,34,0.944,0.18,431,226,3,16.33,12.37
2/11/2022 6:19:23,725,1,34,36,1.04,0.174,169,2,0,16.33,12.37
2/11/2022 6:34:22,725,1,23,24,1.032,0.118,172,2,1,16.33,12.37
2/11/2022 6:49:22,725,1,22,23,1.051,0.113,198,0,0,16.33,12.37
2/11/2022 7:04:22,725,1,25,24,0.937,0.125,198,0,0,16.34,12.37
2/11/2022 7:19:22,725,1,34,32,0.922,0.17,633,172,1,16.34,12.5
2/11/2022 7:34:22,725,1,37,36,0.991,0.184,624,365,17,16.48,12.55
2/11/2022 7:49:22,725,1,36,36,1.007,0.18,269,128,1,16.62,12.55
2/11/2022 8:04:22,725,1,31,30,0.961,0.157,29,8,0,16.62,12.55
2/11/2022 8:19:22,725,1,24,23,0.958,0.12,62,5,0,16.62,12.55
2/11/2022 8:34:22,725,1,29,26,0.911,0.141,112,39,3,16.62,12.55
2/11/2022 8:49:23,725,1,28,26,0.928,0.141,2,1,0,16.62,12.55
2/11/2022 9:04:22,725,1,27,24,0.882,0.133,11,3,0,16.62,12.55
2/11/2022 9:19:22,725,1,27,24,0.873,0.135,8,1,0,16.62,12.55
2/11/2022 9:34:22,725,1,29,26,0.911,0.142,16,4,0,16.62,12.55
2/11/2022 9:49:22,725,1,26,24,0.917,0.128,7,2,0,16.62,12.55
2/11/2022 10:04:23,725,1,27,24,0.882,0.131,5,2,0,16.62,12.55
2/11/2022 10:19:22,725,1,26,23,0.888,0.127,13,1,0,16.62,12.55
2/11/2022 10:34:22,725,1,33,30,0.914,0.164,184,108,10,16.62,13.55
2/11/2022 10:49:23,725,1,30,26,0.847,0.148,276,79,0,16.62,13.56
2/11/2022 11:04:22,725,1,35,33,0.93,0.175,7,0,0,16.62,13.56
2/11/2022 11:19:22,725,1,26,24,0.928,0.129,0,0,0,16.62,13.56
2/11/2022 11:34:22,725,1,29,25,0.876,0.142,0,0,0,16.62,13.56
2/11/2022 11:49:22,725,1,29,25,0.859,0.142,0,0,0,16.62,13.56
2/11/2022 12:04:22,725,1,28,24,0.882,0.135,0,0,0,16.62,13.56
2/11/2022 12:19:22,725,1,29,25,0.851,0.141,0,0,0,16.62,13.56
2/11/2022 12:34:22,725,1,29,25,0.851,0.141,0,0,0,16.62,13.57
2/11/2022 12:49:22,725,1,27,24,0.864,0.134,0,0,0,16.62,13.57
2/11/2022 13:04:23,725,1,26,22,0.86,0.126,0,0,0,16.62,13.57
2/11/2022 13:19:22,725,1,35,31,0.865,0.173,0,0,0,16.62,13.57
2/11/2022 13:34:22,725,1,52,43,0.827,0.251,623,325,8,16.62,13.79
2/11/2022 13:49:22,725,1,47,38,0.818,0.227,76,46,0,16.63,13.79
2/11/2022 14:04:22,725,1,33,26,0.806,0.158,0,0,0,16.63,13.79
2/11/2022 14:19:22,725,1,29,24,0.809,0.142,0,0,0,16.63,13.79
2/11/2022 14:34:22,725,1,27,23,0.837,0.134,0,0,0,16.63,13.79
2/11/2022 14:49:22,725,1,27,23,0.837,0.133,156,0,0,16.63,13.79
2/11/2022 15:04:23,725,1,29,24,0.834,0.141,123,0,0,16.63,13.79
2/11/2022 15:19:22,725,1,29,24,0.809,0.142,0,0,0,16.63,13.79
2/11/2022 15:34:22,725,1,29,24,0.825,0.141,72,58,0,16.63,13.79
2/11/2022 15:49:22,725,1,29,24,0.834,0.14,21,16,0,16.63,13.79
